filename,count,count1
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-00_Flatbush_Ave__Willoughby.jpg,116,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-09_Flatbush_Ave__Willoughby.jpg,117,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-38_Flatbush_Ave__Willoughby.jpg,118,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-03_Flatbush_Ave__Willoughby.jpg,119,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-08_Flatbush_Ave__Willoughby.jpg,120,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-27_Flatbush_Ave__Willoughby.jpg,121,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-47_Flatbush_Ave__Willoughby.jpg,122,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-17_Flatbush_Ave__Willoughby.jpg,123,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-55_Flatbush_Ave__Willoughby.jpg,124,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-12_Flatbush_Ave__Willoughby.jpg,125,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-39_Flatbush_Ave__Willoughby.jpg,126,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-45_Flatbush_Ave__Willoughby.jpg,127,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-28_Flatbush_Ave__Willoughby.jpg,128,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-31_Flatbush_Ave__Willoughby.jpg,129,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-21_Flatbush_Ave__Willoughby.jpg,130,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-20_Flatbush_Ave__Willoughby.jpg,131,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-18_Flatbush_Ave__Willoughby.jpg,132,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-52_Flatbush_Ave__Willoughby.jpg,133,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-48_Flatbush_Ave__Willoughby.jpg,134,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-26_Flatbush_Ave__Willoughby.jpg,135,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-50_Flatbush_Ave__Willoughby.jpg,136,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-18_Flatbush_Ave__Willoughby.jpg,137,7
/home/rnam/Documents/ped/data/team500/2016-07-17-13-35-59_Flatbush_Ave__Willoughby.jpg,138,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-59_Flatbush_Ave__Willoughby.jpg,139,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-53_Flatbush_Ave__Willoughby.jpg,140,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-36_Flatbush_Ave__Willoughby.jpg,141,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-02_Flatbush_Ave__Willoughby.jpg,142,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-02_Flatbush_Ave__Willoughby.jpg,143,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-55_Flatbush_Ave__Willoughby.jpg,144,11
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-59_Flatbush_Ave__Willoughby.jpg,145,13
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-40_Flatbush_Ave__Willoughby.jpg,146,15
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-41_Flatbush_Ave__Willoughby.jpg,147,14
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-14_Flatbush_Ave__Willoughby.jpg,148,16
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-49_Flatbush_Ave__Willoughby.jpg,149,19
/home/rnam/Documents/ped/data/team500/2016-07-17-13-35-58_Flatbush_Ave__Willoughby.jpg,150,20
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-34_Flatbush_Ave__Willoughby.jpg,151,17
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-47_Flatbush_Ave__Willoughby.jpg,152,16
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-15_Flatbush_Ave__Willoughby.jpg,153,15
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-41_Flatbush_Ave__Willoughby.jpg,154,13
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-57_Flatbush_Ave__Willoughby.jpg,155,15
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-46_Flatbush_Ave__Willoughby.jpg,156,15
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-31_Flatbush_Ave__Willoughby.jpg,157,14
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-05_Flatbush_Ave__Willoughby.jpg,158,12
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-31_Flatbush_Ave__Willoughby.jpg,159,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-58_Flatbush_Ave__Willoughby.jpg,160,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-44_Flatbush_Ave__Willoughby.jpg,161,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-18_Flatbush_Ave__Willoughby.jpg,162,11
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-31_Flatbush_Ave__Willoughby.jpg,163,12
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-19_Flatbush_Ave__Willoughby.jpg,164,12
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-46_Flatbush_Ave__Willoughby.jpg,165,11
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-39_Flatbush_Ave__Willoughby.jpg,166,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-13_Flatbush_Ave__Willoughby.jpg,167,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-03_Flatbush_Ave__Willoughby.jpg,168,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-11_Flatbush_Ave__Willoughby.jpg,169,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-24_Flatbush_Ave__Willoughby.jpg,170,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-31_Flatbush_Ave__Willoughby.jpg,171,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-42_Flatbush_Ave__Willoughby.jpg,172,12
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-26_Flatbush_Ave__Willoughby.jpg,173,12
/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-32_Flatbush_Ave__Willoughby.jpg,174,12
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-13_Flatbush_Ave__Willoughby.jpg,175,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-26_Flatbush_Ave__Willoughby.jpg,176,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-07_Flatbush_Ave__Willoughby.jpg,177,10
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-15_Flatbush_Ave__Willoughby.jpg,178,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-02_Flatbush_Ave__Willoughby.jpg,179,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-06_Flatbush_Ave__Willoughby.jpg,180,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-15_Flatbush_Ave__Willoughby.jpg,181,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-37_Flatbush_Ave__Willoughby.jpg,182,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-10_Flatbush_Ave__Willoughby.jpg,183,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-23_Flatbush_Ave__Willoughby.jpg,184,8
/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-54_Flatbush_Ave__Willoughby.jpg,185,9
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-45_Flatbush_Ave__Willoughby.jpg,186,10
