,filename,count,count1,blob_hog_count
22,/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-25_Flatbush_Ave__Willoughby.jpg,22,0,1
23,/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-28_Flatbush_Ave__Willoughby.jpg,23,0,2
24,/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-34_Flatbush_Ave__Willoughby.jpg,24,0,1
25,/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-29_Flatbush_Ave__Willoughby.jpg,25,0,3
26,/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-29_Flatbush_Ave__Willoughby.jpg,26,0,3
27,/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-28_Flatbush_Ave__Willoughby.jpg,27,0,4
28,/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-51_Flatbush_Ave__Willoughby.jpg,28,0,3
29,/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-55_Flatbush_Ave__Willoughby.jpg,29,0,1
30,/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-50_Flatbush_Ave__Willoughby.jpg,30,0,2
31,/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-27_Flatbush_Ave__Willoughby.jpg,31,0,1
32,/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-05_Flatbush_Ave__Willoughby.jpg,32,0,1
33,/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-23_Flatbush_Ave__Willoughby.jpg,33,0,0
34,/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-46_Flatbush_Ave__Willoughby.jpg,34,0,3
35,/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-00_Flatbush_Ave__Willoughby.jpg,35,0,0
36,/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-13_Flatbush_Ave__Willoughby.jpg,36,0,1
37,/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-07_Flatbush_Ave__Willoughby.jpg,37,0,3
38,/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-34_Flatbush_Ave__Willoughby.jpg,38,0,0
39,/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-14_Flatbush_Ave__Willoughby.jpg,39,1,1
40,/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-00_Flatbush_Ave__Willoughby.jpg,40,1,0
